Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FDI","Foreign Direct Investment (FDI)","450","Madagascar","6110","Value US$","23082","Total FDI inflows","1990","1990","million USD","22.385022","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","450","Madagascar","6110","Value US$","23082","Total FDI inflows","1991","1991","million USD","13.681762","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","450","Madagascar","6110","Value US$","23082","Total FDI inflows","1992","1992","million USD","21.12676","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","450","Madagascar","6110","Value US$","23082","Total FDI inflows","1993","1993","million USD","15.358838","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","450","Madagascar","6110","Value US$","23082","Total FDI inflows","1994","1994","million USD","5.726557","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","450","Madagascar","6110","Value US$","23082","Total FDI inflows","1995","1995","million USD","9.708738","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","450","Madagascar","6110","Value US$","23082","Total FDI inflows","1996","1996","million USD","10.162602","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","450","Madagascar","6110","Value US$","23082","Total FDI inflows","1997","1997","million USD","13.760837","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","450","Madagascar","6110","Value US$","23082","Total FDI inflows","1998","1998","million USD","16.142","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","450","Madagascar","6110","Value US$","23082","Total FDI inflows","1999","1999","million USD","58.381","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","450","Madagascar","6110","Value US$","23082","Total FDI inflows","2000","2000","million USD","82.9526","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","450","Madagascar","6110","Value US$","23082","Total FDI inflows","2001","2001","million USD","93.0592","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","450","Madagascar","6110","Value US$","23082","Total FDI inflows","2002","2002","million USD","61.109932","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","450","Madagascar","6110","Value US$","23082","Total FDI inflows","2003","2003","million USD","95.451132","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","450","Madagascar","6110","Value US$","23082","Total FDI inflows","2004","2004","million USD","95.191721","X","Figure from international organizations","UNCTAD"
