Year,Annual Average Mean Surface Air Temperature,Trend 1951-2020,Trend 1971-2020,Trend 1991-2020
1950,21.33,,,
1951,21.78,21.451034205231352,,
1952,21.55,21.47255288251243,,
1953,21.65,21.49407155979351,,
1954,21.61,21.515590237074587,,
1955,21.46,21.537108914355667,,
1956,21.55,21.558627591636746,,
1957,21.85,21.580146268917822,,
1958,21.68,21.601664946198902,,
1959,21.73,21.62318362347998,,
1960,21.69,21.64470230076106,,
1961,22.1,21.66622097804214,,
1962,21.57,21.687739655323217,,
1963,21.49,21.709258332604296,,
1964,21.43,21.730777009885376,,
1965,21.07,21.752295687166452,,
1966,21.8,21.77381436444753,,
1967,21.86,21.79533304172861,,
1968,21.57,21.81685171900969,,
1969,22.09,21.83837039629077,,
1970,21.84,21.859889073571846,,
1971,21.59,21.881407750852926,21.830258823529388,
1972,21.93,21.902926428134005,21.85365234093635,
1973,22.12,21.92444510541508,21.877045858343315,
1974,21.62,21.94596378269616,21.900439375750278,
1975,21.58,21.96748245997724,21.923832893157243,
1976,22.04,21.98900113725832,21.947226410564205,
1977,22.37,22.01051981,21.97061992797117,
1978,22.34,22.032038491820476,21.994013445378133,
1979,22.19,22.053557169101556,22.017406962785095,
1980,22.2,22.075075846382635,22.04080048019206,
1981,22.07,22.09659452366371,22.064193997599023,
1982,22.06,22.11811320094479,22.08758751500599,
1983,22.47,22.13963187822587,22.11098103241295,
1984,21.78,22.16115055550695,22.134374549819917,
1985,21.82,22.18266923278803,22.15776806722688,
1986,21.85,22.204187910069106,22.18116158463384,
1987,22.5,22.225706587350185,22.204555102040807,
1988,22.48,22.247225264631265,22.22794861944777,
1989,22.15,22.26874394191234,22.251342136854735,
1990,22.36,22.29026261919342,22.274735654261697,
1991,22.31,22.3117813,22.298129171668663,22.210150537634398
1992,22.12,22.33329997375558,22.321522689075625,22.23853096032628
1993,22.09,22.35481865103666,22.344916206482587,22.266911383018158
1994,22.2,22.376337328317735,22.368309723889553,22.29529180571004
1995,22.44,22.397856005598815,22.391703241296515,22.32367222840192
1996,22.25,22.419374682879894,22.41509675870348,22.35205265
1997,22.39,22.44089336016097,22.438490276110443,22.38043307378568
1998,22.69,22.46241203744205,22.46188379351741,22.408813496477563
1999,22.33,22.48393071472313,22.48527731092437,22.43719391916944
2000,22.37,22.50544939200421,22.508670828331333,22.465574341861323
2001,22.56,22.52696806928529,22.53206435,22.493954764553205
2002,22.63,22.548486746566365,22.55545786314526,22.522335187245083
2003,22.6,22.570005423847444,22.578851380552226,22.550715609936965
2004,22.6,22.591524101128524,22.60224489795919,22.579096032628847
2005,22.61,22.61304278,22.625638415366154,22.607476455320725
2006,22.84,22.63456145569068,22.649031932773116,22.635856878012607
2007,22.65,22.65608013297176,22.67242545018008,22.664237300704485
2008,22.43,22.67759881025284,22.695818967587044,22.692617723396367
2009,22.8,22.69911748753392,22.719212484994006,22.72099814608825
2010,23.04,22.720636164814994,22.742606002400972,22.749378568780127
2011,22.81,22.742154842096074,22.765999519807934,22.77775899147201
2012,22.69,22.763673519377154,22.78939304,22.80613941416389
2013,22.69,22.78519219665823,22.812786554621862,22.83451983685577
2014,22.8,22.80671087393931,22.836180072028824,22.86290025954765
2015,22.84,22.82822955122039,22.85957358943579,22.891280682239532
2016,22.76,22.84974822850147,22.882967106842752,22.91966110493141
2017,23.05,22.871266905782548,22.906360624249718,22.948041527623293
2018,22.8,22.892785583063624,22.92975414165668,22.976421950315174
2019,23.25,22.914304260344704,22.953147659063646,23.004802373007053
2020,23.01,22.935822937625783,22.976541176470608,23.033182795698934
